time,sat_>_rw_3.rw_edge_0,sat_>_rw_3.rw_edge_1
2026-08-21T00:30:38.609510,1,4
2026-08-21T00:30:38.658997,1,4
2026-08-21T00:30:38.667330,1,4
2026-08-21T00:30:38.675663,1,4
2026-08-21T00:30:38.683996,1,4
2026-08-21T00:30:38.692329,1,4
2026-08-21T00:30:38.700662,1,4
2026-08-21T00:30:38.708995,1,4
2026-08-21T00:30:38.717328,1,4
2026-08-21T00:30:38.725661,1,4
2026-08-21T00:30:38.733994,1,4
2026-08-21T00:30:38.742327,1,4
2026-08-21T00:30:38.750660,1,4
2026-08-21T00:30:38.758993,1,4
2026-08-21T00:30:38.767326,1,4
2026-08-21T00:30:38.775659,1,4
2026-08-21T00:30:38.783992,1,4
2026-08-21T00:30:38.792325,1,4
2026-08-21T00:30:38.800658,1,4
2026-08-21T00:30:38.808991,1,4
2026-08-21T00:30:38.817324,1,4
2026-08-21T00:30:38.825657,1,4
2026-08-21T00:30:38.833990,1,4
2026-08-21T00:30:38.842323,1,4
2026-08-21T00:30:38.850656,1,4
2026-08-21T00:30:38.858989,1,4
2026-08-21T00:30:38.867322,1,4
2026-08-21T00:30:38.875655,1,4
2026-08-21T00:30:38.883988,1,4
2026-08-21T00:30:38.892321,1,4
2026-08-21T00:30:38.900654,1,4
2026-08-21T00:30:38.908987,1,4
2026-08-21T00:30:38.917320,1,4
2026-08-21T00:30:38.925653,1,4
2026-08-21T00:30:38.933986,1,4
2026-08-21T00:30:38.942319,1,4
2026-08-21T00:30:38.950652,1,4
2026-08-21T00:30:38.958985,1,4
2026-08-21T00:30:38.967318,1,4
2026-08-21T00:30:38.975651,1,4
2026-08-21T00:30:38.983984,1,4
2026-08-21T00:30:38.992317,1,4
2026-08-21T00:30:39.000650,1,4
2026-08-21T00:30:39.008983,1,4
2026-08-21T00:30:39.017316,1,4
2026-08-21T00:30:39.025649,1,4
2026-08-21T00:30:39.033982,1,4
2026-08-21T00:30:39.042315,1,4
2026-08-21T00:30:39.050648,1,4
2026-08-21T00:30:39.058981,1,4
2026-08-21T00:30:39.067314,1,4
2026-08-21T00:30:39.075647,1,4
2026-08-21T00:30:39.083980,1,4
2026-08-21T00:30:39.092313,1,4
2026-08-21T00:30:39.100646,1,4
2026-08-21T00:30:39.108979,1,4
2026-08-21T00:30:39.117312,1,4
2026-08-21T00:30:39.125645,1,4
2026-08-21T00:30:39.133978,1,4
2026-08-21T00:30:39.142311,1,4
2026-08-21T00:30:39.150644,1,4
2026-08-21T00:30:39.158977,1,4
2026-08-21T00:30:39.167310,1,4
2026-08-21T00:30:39.175643,1,4
2026-08-21T00:30:39.183976,1,4
2026-08-21T00:30:39.192309,1,4
2026-08-21T00:30:39.200642,1,4
2026-08-21T00:30:39.208975,1,4
2026-08-21T00:30:39.217308,1,4
2026-08-21T00:30:39.225641,1,4
2026-08-21T00:30:39.233974,1,4
2026-08-21T00:30:39.242307,1,4
2026-08-21T00:30:39.250640,1,4
2026-08-21T00:30:39.258973,1,4
2026-08-21T00:30:39.267306,1,4
2026-08-21T00:30:39.275639,1,4
2026-08-21T00:30:39.283972,1,4
2026-08-21T00:30:39.292305,1,4
2026-08-21T00:30:39.300638,1,4
2026-08-21T00:30:39.308971,1,4
2026-08-21T00:30:39.317304,1,4
2026-08-21T00:30:39.325637,1,4
2026-08-21T00:30:39.333970,1,4
2026-08-21T00:30:39.342303,1,4
2026-08-21T00:30:39.350636,1,4
2026-08-21T00:30:39.358969,1,4
2026-08-21T00:30:39.367302,1,4
2026-08-21T00:30:39.375635,1,4
2026-08-21T00:30:39.383968,1,4
2026-08-21T00:30:39.392301,1,4
2026-08-21T00:30:39.400634,1,4
2026-08-21T00:30:39.408967,1,4
2026-08-21T00:30:39.417300,1,4
2026-08-21T00:30:39.425633,1,4
2026-08-21T00:30:39.433966,1,4
2026-08-21T00:30:39.442299,1,4
2026-08-21T00:30:39.450632,1,4
2026-08-21T00:30:39.458965,1,4
2026-08-21T00:30:39.467298,1,4
2026-08-21T00:30:39.475631,1,4
2026-08-21T00:30:39.483964,1,4
